Timestamp,CarOrdinalID,CarClass,CarPerformanceIndex,DriveTrainType,NumCylinders,EngineMaxRPM,EndingeIdelRPM,EngineCurrentRPM,Speed,Power,Torque,Boost,Gear,Accel,Brake,Clutch,HandBrake,Fuel,roundedCurrentRPM,roundedPower,roundedTorque
2024-01-31 22:17:43.441593,2352,6,836,2,6,9000,800,163.028,40,0.0614,1.2812,2.3888,5,0,100,0,0,1.0,163,0,1
2024-01-31 22:17:43.294816,2352,6,836,2,6,9000,800,176.0248,45,0.0578,1.2812,2.0446,5,0,100,0,0,1.0,176,0,1
2024-01-31 22:17:43.558811,2352,6,836,2,6,9000,800,444.0864,37,0,0,5.7315,5,0,100,0,0,1.0,444,0,0
2024-01-31 22:17:43.144482,2352,6,836,2,6,9000,800,548.7638,50,0.123,1.2812,-0.0892,5,0,100,0,0,1.0,549,0,1
2024-01-31 22:17:42.991552,2352,6,836,2,6,9000,800,664.9346,55,0.1642,1.2812,-11.025,5,0,100,0,0,1.0,665,0,1
2024-01-31 22:17:42.974955,2352,6,836,2,6,9000,800,753.7222,56,0,0,-11.025,5,0,100,0,0,1.0,754,0,0
2024-01-31 22:17:43.142475,2352,6,836,2,6,9000,800,815.6985,50,0,0,3.6737,5,0,100,0,0,1.0,816,0,0
2024-01-31 22:17:42.958601,2352,6,836,2,6,9000,800,954.6329,57,0,0,-11.025,5,0,100,0,0,1.0,955,0,0
2024-01-31 22:17:43.278717,2352,6,836,2,6,9000,800,966.0338,45,0,0,5.8567,5,0,100,0,0,1.0,966,0,0
2024-01-31 22:17:42.891967,2352,6,836,2,6,9000,800,1003.3278,60,0,0,-11.025,5,0,100,0,0,1.0,1003,0,0
2024-01-31 22:17:42.908659,2352,6,836,2,6,9000,800,1051.5955,59,0,0,-11.025,5,0,100,0,0,1.0,1052,0,0
2024-01-31 22:17:42.875522,2352,6,836,2,6,9000,800,1068.4701,61,0,0,-11.025,5,0,100,0,0,1.0,1068,0,0
2024-01-31 22:17:43.425171,2352,6,836,2,6,9000,800,1105.8832,41,0,0,6.2872,5,0,100,0,0,1.0,1106,0,0
2024-01-31 22:17:42.925185,2352,6,836,2,6,9000,800,1127.9683,58,0,0,-11.025,5,0,100,0,0,1.0,1128,0,0
2024-01-31 22:17:42.941967,2352,6,836,2,6,9000,800,1129.8163,57,0,0,-11.025,5,0,100,0,0,1.0,1130,0,0
2024-01-31 22:17:42.859046,2352,6,836,2,6,9000,800,1149.7284,61,0,0,-11.025,5,0,100,0,0,1.0,1150,0,0
2024-01-31 22:17:42.825052,2352,6,836,2,6,9000,800,1156.4507,63,0,0,-11.025,5,0,100,0,0,1.0,1156,0,0
2024-01-31 22:17:42.842023,2352,6,836,2,6,9000,800,1172.7611,62,0,0,-11.025,5,0,100,0,0,1.0,1173,0,0
2024-01-31 22:17:42.808539,2352,6,836,2,6,9000,800,1193.2633,64,0,0,-11.025,5,0,100,0,0,1.0,1193,0,0
2024-01-31 22:17:43.008836,2352,6,836,2,6,9000,800,1228.4209,55,83.4573,386.3007,-10.5956,5,0,100,0,0,1.0,1228,83,386
2024-01-31 22:17:43.158977,2352,6,836,2,6,9000,800,1267.368,49,109.8686,494.7139,0.2146,5,0,100,0,0,1.0,1267,110,495
2024-01-31 22:17:42.725228,2352,6,836,2,6,9000,800,1281.7681,68,0,0,-11.025,5,0,100,0,0,1.0,1282,0,0
2024-01-31 22:17:42.791952,2352,6,836,2,6,9000,800,1312.4237,64,0,0,-11.025,5,0,100,0,0,1.0,1312,0,0
2024-01-31 22:17:42.741186,2352,6,836,2,6,9000,800,1337.6396,67,0,0,-11.025,5,0,100,0,0,1.0,1338,0,0
2024-01-31 22:17:42.708667,2352,6,836,2,6,9000,800,1356.5588,68,0,0,-11.025,5,0,100,0,0,1.0,1357,0,0
2024-01-31 22:17:42.774614,2352,6,836,2,6,9000,800,1399.3247,65,0,0,-11.025,5,0,100,0,0,1.0,1399,0,0
2024-01-31 22:17:42.758413,2352,6,836,2,6,9000,800,1409.8368,66,0,0,-11.025,5,0,100,0,0,1.0,1410,0,0
2024-01-31 22:17:43.311691,2352,6,836,2,6,9000,800,1411.0931,44,129.3097,529.3497,2.5115,5,0,100,0,0,1.0,1411,129,529
2024-01-31 22:17:43.458560,2352,6,836,2,6,9000,800,1415.0621,40,130.4681,532.7378,2.7946,5,0,100,0,0,1.0,1415,130,533
2024-01-31 22:17:43.575223,2352,6,836,2,6,9000,800,1468.8945,36,145.5913,575.2032,6.5907,5,0,100,0,0,1.0,1469,146,575
2024-01-31 22:17:42.692167,2352,6,836,2,6,9000,800,1558.89,69,0,0,-11.025,5,0,100,0,0,1.0,1559,0,0
2024-01-31 22:17:42.675225,2352,6,836,2,6,9000,800,1799.5261,70,0,0,-11.025,5,0,100,0,0,1.0,1800,0,0
2024-01-31 22:17:43.025365,2352,6,836,2,6,9000,800,1865.4797,55,155.65,466.518,-6.6825,5,0,100,0,0,1.0,1865,156,467
2024-01-31 22:17:43.541351,2352,6,836,2,6,9000,800,1915.2002,37,0,0,10.5894,5,0,100,0,0,1.0,1915,0,0
2024-01-31 22:17:43.111013,2352,6,836,2,6,9000,800,2010.9353,51,0,0,7.9363,5,0,100,0,0,1.0,2011,0,0
2024-01-31 22:17:43.175489,2352,6,836,2,6,9000,800,2089.9727,48,223.4095,597.1696,3.396,5,0,100,0,0,1.0,2090,223,597
2024-01-31 22:17:42.658613,2352,6,836,2,6,9000,800,2172.363,70,0,0,-11.025,5,0,100,0,0,1.0,2172,0,0
2024-01-31 22:17:43.326673,2352,6,836,2,6,9000,800,2276.0649,44,248.4938,613.662,5.4178,5,0,100,0,0,1.0,2276,248,614
2024-01-31 22:17:43.475163,2352,6,836,2,6,9000,800,2283.0881,39,249.7343,614.7469,5.6417,5,0,100,0,0,1.0,2283,250,615
2024-01-31 22:17:43.592101,2352,6,836,2,6,9000,800,2395.4717,36,276.4394,648.8482,8.5884,5,0,100,0,0,1.0,2395,276,649
2024-01-31 22:17:43.259472,2352,6,836,2,6,9000,800,2525.5688,46,0,0,10.7617,5,0,100,0,0,1.0,2526,0,0
2024-01-31 22:17:43.041860,2352,6,836,2,6,9000,800,2606.063,54,248.9019,527.6368,-1.688,5,0,100,0,0,1.0,2606,249,528
2024-01-31 22:17:42.641763,2352,6,836,2,6,9000,800,2669.8652,71,0,0,-11.025,5,0,100,0,0,1.0,2670,0,0
2024-01-31 22:17:43.416176,2352,6,836,2,6,9000,800,2734.0325,41,0,0,11.3288,5,0,100,0,0,1.0,2734,0,0
2024-01-31 22:17:43.192146,2352,6,836,2,6,9000,800,2969.9556,48,329.7609,613.8845,6.1015,5,0,100,0,0,1.0,2970,330,614
2024-01-31 22:17:42.625706,2352,6,836,2,6,9000,800,3070.7222,72,0,0,-11.025,5,0,100,0,0,1.0,3071,0,0
2024-01-31 22:17:43.342065,2352,6,836,2,6,9000,800,3178.2183,43,360.7992,626.1024,7.6683,5,0,100,0,0,1.0,3178,361,626
2024-01-31 22:17:43.491656,2352,6,836,2,6,9000,800,3188.9573,39,362.1498,626.3392,7.8484,5,0,100,0,0,1.0,3189,362,626
2024-01-31 22:17:35.392418,2352,6,836,2,6,9000,800,3215.1504,90,0,0,-2.4122,5,0,100,0,0,1.0,3215,0,0
2024-01-31 22:17:42.608726,2352,6,836,2,6,9000,800,3219.9834,73,0,0,-11.025,5,0,100,0,0,1.0,3220,0,0
2024-01-31 22:17:42.591618,2352,6,836,2,6,9000,800,3224.0581,74,0,0,-11.025,5,0,100,0,0,1.0,3224,0,0
2024-01-31 22:17:42.575213,2352,6,836,2,6,9000,800,3246.2427,74,0,0,-11.025,5,0,100,0,0,1.0,3246,0,0
2024-01-31 22:17:43.525293,2352,6,836,2,6,9000,800,3265.8083,38,117.3425,181.0956,10.8838,5,0,100,0,0,1.0,3266,117,181
2024-01-31 22:17:43.608354,2352,6,836,2,6,9000,800,3339.9282,35,393.5749,649.5907,10.1305,5,0,100,0,0,1.0,3340,394,650
2024-01-31 22:17:42.558707,2352,6,836,2,6,9000,800,3355.1819,75,0,0,-11.025,5,0,100,0,0,1.0,3355,0,0
2024-01-31 22:17:43.091700,2352,6,836,2,6,9000,800,3368.6672,52,109.7745,165.1217,7.4723,5,0,100,0,0,1.0,3369,110,165
