timestamp= 2024-01-31 21:46:00.926112, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 800.0101, Speed= 0, Power= 0, Torque= 0, Boost= -11.025, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 100, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.144335, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 702.8011, Speed= 0, Power= 0.1713, Torque= 1.2812, Boost= -13.8718, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 100, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.153884, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 724.8956, Speed= 0, Power= 0.1767, Torque= 1.2812, Boost= -11.1579, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.165006, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 726.5327, Speed= 0, Power= 0.1771, Torque= 1.2812, Boost= -11.131, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.182178, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 728.3743, Speed= 0, Power= 0.1776, Torque= 1.2812, Boost= -11.1071, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.196398, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 730.2172, Speed= 0, Power= 0.178, Torque= 1.2812, Boost= -11.0886, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.213442, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 732.0567, Speed= 0, Power= 0.1785, Torque= 1.2812, Boost= -11.0743, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.229935, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 733.9253, Speed= 0, Power= 0.1789, Torque= 1.2812, Boost= -11.063, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.247420, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 735.739, Speed= 0, Power= 0.1794, Torque= 1.2812, Boost= -11.0546, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.263401, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 737.5818, Speed= 0, Power= 0.1798, Torque= 1.2812, Boost= -11.0479, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.279415, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 739.4196, Speed= 0, Power= 0.1803, Torque= 1.2812, Boost= -11.0428, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.295465, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 741.2643, Speed= 0, Power= 0.1807, Torque= 1.2812, Boost= -11.0387, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.312985, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 743.1059, Speed= 0, Power= 0.1812, Torque= 1.2812, Boost= -11.0356, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.329480, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 744.9458, Speed= 0, Power= 0.1816, Torque= 1.2812, Boost= -11.0333, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.345788, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 746.7861, Speed= 0, Power= 0.1821, Torque= 1.2812, Boost= -11.0314, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.362322, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 748.6277, Speed= 0, Power= 0.1825, Torque= 1.2812, Boost= -11.03, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.379354, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 750.4694, Speed= 0, Power= 0.183, Torque= 1.2812, Boost= -11.0288, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.395855, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 752.3145, Speed= 0, Power= 0.1834, Torque= 1.2812, Boost= -11.028, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
